segment_id,coordinates,segment_length,streets
9000002582,"[[[13.406749894, 52.509225703], [13.407258794, 52.509565303]]]",0.078943317387864,Alte Jakobstraße
9000003000,"[[[13.459240394, 52.514195303], [13.459406994, 52.514360103], [13.459943594, 52.514890003], [13.460052994, 52.514996003], [13.460075694, 52.515028603], [13.460126194, 52.515101303]]]",0.058067242907660285,Niederbarnimstraße
9000003045,"[[[13.459240394, 52.514195303], [13.457824394, 52.512798403], [13.457811494, 52.512785703]]]",0.16679263684807077,Niederbarnimstraße
9000003077,"[[[13.459547294, 52.508039403], [13.459918794, 52.508854903], [13.459933294, 52.508886903], [13.459980094, 52.508973003], [13.459984794, 52.508982003]]]",0.06881164454518936,Simplonstraße
9000003088,"[[[13.394411794, 52.487373003], [13.394412894, 52.488268203]]]",0.0550479786551706,Willibald-Alexis-Straße
9000003172,"[[[13.530875094, 52.485870403], [13.531230194, 52.485315303], [13.531980894, 52.484141503], [13.532014894, 52.484088403]]]",0.06771925392485613,Rhenser Weg
9000003320,"[[[13.490319494, 52.514757703], [13.490346594, 52.514839803], [13.490425694, 52.514980803], [13.490475494, 52.515034503], [13.490534594, 52.515080003], [13.490605394, 52.515120203]]]",0.05510826941240595,Schottstraße
9000003479,"[[[13.525972294, 52.483964303], [13.525861894, 52.483614303]]]",0.05637052193324965,Treskowallee
9000003520,"[[[13.376362294, 52.540647503], [13.377251594, 52.541263303], [13.377329494, 52.541317203], [13.377798194, 52.541633803], [13.378010294, 52.541775203], [13.378103494, 52.541837203]]]",0.11317720446466509,Grenzstraße
9000003561,"[[[13.315488794, 52.495556803], [13.315759394, 52.496414003], [13.315770094, 52.496447703], [13.315797194, 52.496533603]]]",0.0627504020615788,Württembergische Straße
9000003564,"[[[13.523624294, 52.486966703], [13.523399094, 52.486993103], [13.522492594, 52.487099203]]]",0.06044878187632545,Hentigstraße
9000003738,"[[[13.481651794, 52.514434703], [13.481321794, 52.514732003]]]",0.06614029529273656,Rathausstraße
9000003747,"[[[13.486724694, 52.502412603], [13.486915994, 52.502428203], [13.487014894, 52.502433203], [13.487093294, 52.502431603], [13.487129094, 52.502423803], [13.487832794, 52.502262203], [13.488368194, 52.502128303]]]",0.058995003663634436,Lückstraße
9000003760,"[[[13.335820494, 52.528562803], [13.336652094, 52.528486703], [13.337132294, 52.528442703], [13.338111694, 52.528353003]]]",0.10762143382176029,Oldenburger Straße
9000003769,"[[[13.437878394, 52.520164003], [13.437976594, 52.520130103], [13.438082994, 52.520062703], [13.438476194, 52.519818603], [13.438969594, 52.519512303]]]",0.05611059870281721,Koppenstraße
9000003786,"[[[13.410411494, 52.550976103], [13.410425994, 52.551045403], [13.410506494, 52.551431103], [13.410514394, 52.551468603], [13.410572294, 52.551746203], [13.410688094, 52.552300803], [13.410702194, 52.552368503]]]",0.05506778721491472,Schivelbeiner Straße
9000003997,"[[[13.362750994, 52.488958503], [13.362654694, 52.489016303], [13.362611394, 52.489042303], [13.362079894, 52.489361403]]]",0.056086768738984445,Langenscheidtstraße
9000004010,"[[[13.366809894, 52.585518303], [13.366417594, 52.585007903], [13.366315294, 52.584874503]]]",0.07024117966148002,Hauptstraße
9000004016,"[[[13.452570394, 52.486146503], [13.452464994, 52.486201103], [13.452422794, 52.486222903], [13.451210294, 52.486849203]]]",0.05626860210001944,Heidelberger Straße
